obs,Kidid,bwtkg,Sex,BDAT,Treatment,Date,DIAenroll,DisDay,DIADis,TRT,TRT2,Deadvsdis,Died2wyn,pen,week,Breed,Mentation,bodyposture,resp,bellyfill,fecal,rectal_temp,temp,Total_HS,ExYN10,Exreason,Dead_YN10,Dead_3wYN10,dieage,DFDDie,dieddat,diereason,trt0yn10,Trt0Event,Trt0diar,Trt0pneu,Trt0Age,Trt0dat,Trt0rem,trt1yn10,Trt1Event,Trt1diar,Trt1pneu,Trt1Age,DFDT1,trt1yn10threewk,DFDT1threewk,Trt1dat,Trt1rem,Trt2Event,Trt2Age,Trt2dat,Trt2rem,Trt3Event,Trt3Age,Trt3dat,Trt3rem,Ttr4Even,Trt4Age,Trt4dat,Trt4rem,weight,6wkwt,6wkdat,time,adg
518,503112,2.2,D,6/28/2021,Con,7/6/2021,8,7/7/2021,9,CON14,FOUR,,,B6,0,T,0,1,0,1,1,1,104.5,4,1,THS,0,0,,50,,,1,BBPNEU,0,1,6,7/4/2021,ZUPREVO,1,BBDIAR,1,0,9,0,1,0,7/7/2021,SULFA,,,,,,,,,,,,,2.6,8.8,8/17/2021,42,0.147619048
364,502929,3.5,D,6/18/2021,Trt,6/29/2021,11,6/30/2021,12,TRT14,FOUR,26,0,B3,0,S,0,0,0,0,1,0,102.8,1,0,,1,0,34,22,7/22/2021,E.BACK LEGS     ,1,BBDIAR,1,0,11,6/29/2021,SULFA,1,BBPNEU,0,1,13,1,1,1,7/1/2021,ZUPREVO,,,,,,,,,,,,,5.8,,8/10/2021,42,
273,502844,3.4,D,6/13/2021,Con,6/22/2021,9,6/23/2021,10,CON14,FOUR,,,B,0,N,0,0,0,0,1,0,102.5,1,0,,0,0,,50,,,1,BBDIAR,1,0,8,6/21/2021,SULFA,1,BBPNEU,0,1,11,1,1,1,6/24/2021,ZUPREVO,BBPNEU,20,7/3/2021,NUFL BAN,,,,,,,,,4.2,11,8/3/2021,42,0.161904762
506,503094,3.7,D,6/27/2021,Con,7/6/2021,9,7/7/2021,10,CON14,FOUR,,,B6,0,A,0,0,0,0,1,1,104,2,0,,0,0,,50,,,1,BBPNEU,0,1,6,7/3/2021,ZUPREVO,1,BBDIAR,1,0,11,1,1,1,7/8/2021,SULFA,BBPNEU,19,7/16/2021,NUFL BAN,,,,,,,,,3.6,8.8,8/17/2021,42,0.123809524
507,503095,3.7,D,6/27/2021,Trt,7/6/2021,9,7/7/2021,10,TRT14,FOUR,,,B6,0,A,0,0,0,0,0,1,104,1,0,,0,0,,50,,,1,BBPNEU,0,1,5,7/2/2021,ZUPREVO,1,BBDIAR,1,0,11,1,1,1,7/8/2021,SULFA,BBPNEU,17,7/14/2021,NUFL BAN,,,,,,,,,4.6,10.2,8/17/2021,42,0.133333333
495,503078,3.9,D,6/24/2021,Con,7/6/2021,12,7/7/2021,13,CON14,FOUR,,,B6,0,A,0,0,1,0,0,1,104.1,2,0,,0,0,,50,,,1,BBPNEU,0,1,8,7/2/2021,ZUPREVO,1,BBDIAR,1,0,14,1,1,1,7/8/2021,SULFA,,,,,,,,,,,,,5.4,10.8,8/17/2021,42,0.128571429
441,503038,4.6,D,6/22/2021,Con,6/29/2021,7,6/30/2021,8,CON14,FOUR,22,0,B4,0,S,0,0,0,0,1,1,104.1,2,0,,1,1,28,20,7/20/2021,ENTEROTOXEMIA   ,0,,0,0,,,,1,BBPNEU,0,1,9,1,1,1,7/1/2021,ZUPREVO,,,,,,,,,,,,,5.2,,8/10/2021,42,
149,502717,3.5,D,5/31/2021,Trt,6/8/2021,8,6/9/2021,9,TRT14,FOUR,23,0,A3,0,S,0,0,1,0,0,1,103.6,2,0,,1,0,32,23,7/2/2021,ENTERITIS       ,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,6/10/2021,ZUPREVO,BBDIAR,15,6/15/2021,SULFA,,,,,,,,,4.6,,7/21/2021,43,
85,502629,3.3,D,5/28/2021,Trt,6/1/2021,4,6/2/2021,5,TRT7,SEV,19,0,A6,0,S,0,0,1,0,0,0,103,1,0,,1,0,31,26,6/28/2021,PNEUM           ,0,,0,0,,,,1,BBPNEU,0,1,6,1,1,1,6/3/2021,ZUPREVO,BBPNEU,21,6/18/2021,NUFL BAN,,,,,,,,,3,,7/14/2021,43,
31,502549,3,D,5/25/2021,Trt,6/1/2021,7,6/2/2021,8,TRT14,FOUR,22,0,A6,0,A,0,0,1,0,1,0,103.1,2,0,,1,0,52,44,7/16/2021,PNEUM           ,0,,0,0,,,,1,BBPNEU,0,1,9,1,1,1,6/3/2021,ZUPREVO,BBPNEU,50,7/14/2021,NUFL BAN,,,,,,,,,3.4,8.2,7/14/2021,43,0.111627907
234,502803,2.3,D,6/9/2021,Trt,6/15/2021,6,6/15/2021,6,TRT7,SEV,,,A1,0,S,0,0,1,0,0,0,103,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,7,1,1,1,6/16/2021,ZUPREVO,BBDIAR,15,6/24/2021,SULFA,,,,,,,,,3.2,8.8,7/28/2021,43,0.130232558
548,503145,2.5,D,7/2/2021,Trt,7/6/2021,4,7/7/2021,5,TRT7,SEV,,,B7,0,T,0,0,0,1,0,1,103.8,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU/BBDIAR,1,1,6,1,1,1,7/8/2021,ZUPREVO/SULFA,,,,,,,,,,,,,2.4,,8/17/2021,42,
317,502888,2.7,D,6/15/2021,Con,6/22/2021,7,6/23/2021,8,CON14,FOUR,,,B1,0,A,0,0,1,0,0,0,103.2,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,9,1,1,1,6/24/2021,ZUPREVO,BBDIAR,16,7/1/2021,SULFA,BBPNEU,19,7/4/2021,ZUPREVO,,,,,3,9.2,8/3/2021,42,0.147619048
301,502872,2.7,D,6/14/2021,Con,6/22/2021,8,6/23/2021,9,CON14,FOUR,,,B2,0,T,0,0,0,0,1,0,102.3,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,6/24/2021,ZUPREVO,BBPNEU,29,7/13/2021,NUFL BAN,,,,,,,,,3,8.2,8/3/2021,42,0.123809524
347,502926,2.8,D,6/17/2021,Con,6/22/2021,5,6/23/2021,6,CON7,SEV,,,B2,0,S,0,0,1,0,0,1,103.6,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,7,1,1,1,6/24/2021,ZUPREVO,BBDIAR,15,7/2/2021,SULFA,,,,,,,,,2.6,7.8,8/3/2021,42,0.123809524
211,502780,2.9,D,6/7/2021,Con,6/15/2021,8,6/15/2021,8,CON14,FOUR,,,A1,0,S,0,0,1,0,1,1,104,3,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,9,1,1,1,6/16/2021,ZUPREVO,BBDIAR,16,6/23/2021,SULFA,BBPNEU,24,7/1/2021,NUFL BAN,,,,,4.6,9.6,7/28/2021,43,0.11627907
215,502784,2.9,D,6/7/2021,Con,6/15/2021,8,6/15/2021,8,CON14,FOUR,,,A1,0,N,0,0,1,0,0,1,104.2,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,9,1,1,1,6/16/2021,ZUPREVO,,,,,,,,,,,,,4.4,12.6,7/28/2021,43,0.190697674
443,502954,2.9,D,6/19/2021,Con,6/29/2021,10,6/30/2021,11,CON14,FOUR,,,B5,0,S,0,0,0,0,0,0,102.8,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,12,1,1,1,7/1/2021,ZUPREVO,BBDIAR,23,7/12/2021,SULFA T,,,,,,,,,3.2,9.8,8/10/2021,42,0.157142857
403,502943,3,D,6/18/2021,Trt,6/29/2021,11,6/30/2021,12,TRT14,FOUR,,,B4,0,N,0,0,0,1,1,1,103.8,3,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,13,1,1,1,7/1/2021,ZUPREVO,BBDIAR,21,7/9/2021,SULFA,,,,,,,,,4,12.2,8/10/2021,42,0.195238095
