Kidid,Sex,Treatment,Date,pen,week,bwtkg,Breed,weight,adg,Mentation,bodyposture,resp,bellyfill,fecal,rectal_temp,temp,RespYN,DiaYN,FeverYN,fever2yn,Total_HS,SickYN,sickhsyn,composite,ExYN10,trt0yn10,DIADis,TRT,TRT2
502607,D,Trt,6/23/2021,A6,3,3,S,5.6,0,0,0,2,0,2,2,105.8,1,1,1,1,6,1,1,1,0,0,6,TRT7,SEV
502824,D,Con,8/3/2021,B,6,3.4,S,12.6,-0.142857143,0,0,2,0,2,2,105.6,1,1,1,1,6,1,1,1,0,1,12,CON14,FOUR
502831,D,Trt,7/14/2021,B,3,2.9,A,6.8,0.285714286,0,0,2,0,2,2,105.2,1,1,1,1,6,1,1,1,0,1,11,TRT14,FOUR
502852,D,Con,7/14/2021,B,3,3.5,N,6.8,0.171428571,0,0,2,0,2,2,106.4,1,1,1,1,6,1,1,1,0,0,10,CON14,FOUR
502953,D,Trt,7/20/2021,B3,3,3.5,N,7.6,-0.171428571,0,0,2,0,2,2,105.8,1,1,1,1,6,1,1,1,0,1,12,TRT14,FOUR
503064,D,Con,7/20/2021,B5,3,3.4,S,7.8,0.142857143,0,0,2,0,2,2,105.1,1,1,1,1,6,1,1,1,0,1,7,CON7,SEV
502691,D,Trt,6/30/2021,A3,3,2.5,A,6.2,0.085714286,0,1,2,0,2,1,104,1,1,1,0,6,1,1,1,1,1,11,TRT14,FOUR
502710,D,Con,6/15/2021,A4,1,3.5,N,5.4,0.085714286,0,0,2,1,2,1,104.2,1,1,1,0,6,1,1,1,0,1,10,CON14,FOUR
502726,D,Con,6/30/2021,A3,3,3.2,S,6,0,0,0,2,1,2,1,100.5,1,1,1,0,6,1,1,1,0,1,9,CON14,FOUR
502758,D,Con,6/23/2021,A2,2,2.5,T,4.2,0.142857143,0,0,2,1,2,1,103.8,1,1,1,0,6,1,1,1,1,0,6,CON7,SEV
502820,D,Con,7/14/2021,B,3,3.1,A,6.4,0.142857143,0,0,2,1,2,1,103.9,1,1,1,0,6,1,1,1,0,1,13,CON14,FOUR
502847,D,Trt,7/7/2021,B,2,3,S,4.2,-0.114285714,0,0,2,1,2,1,103.8,1,1,1,0,6,1,1,1,0,0,10,TRT14,FOUR
503145,D,Trt,7/27/2021,B7,3,2.5,T,3,0,0,1,2,1,2,0,102,1,1,0,0,6,1,1,1,0,0,5,TRT7,SEV
104936,B,Con,6/15/2021,A5,2,3.5,S,5.2,0.028571429,0,1,2,0,2,0,103.2,1,1,0,0,5,1,1,1,1,1,6,CON7,SEV
502536,D,Con,7/7/2021,A6,5,3.5,S,7.6,0.085714286,0,0,2,1,2,0,103.1,1,1,0,0,5,1,1,1,0,0,8,CON14,FOUR
502575,D,Trt,6/23/2021,A6,3,3.4,N,7.6,0.057142857,0,0,2,0,2,1,103.9,1,1,1,0,5,1,1,1,0,0,7,TRT7,SEV
502626,D,Con,7/21/2021,A4,6,3.5,A,4.4,-0.4,0,0,2,0,2,1,100.5,1,1,1,0,5,1,1,1,0,0,12,CON14,FOUR
502634,D,Con,6/30/2021,A4,3,2.9,S,7.4,0.171428571,0,0,2,0,2,1,104.4,1,1,1,0,5,1,1,1,0,0,12,CON14,FOUR
502635,D,Trt,6/30/2021,A4,3,3,N,6.4,0,0,0,2,1,2,0,102.8,1,1,0,0,5,1,1,1,0,0,12,TRT14,FOUR
502669,D,Trt,6/15/2021,A5,2,3.6,A,5.8,0.085714286,0,1,2,0,2,0,103.1,1,1,0,0,5,1,1,1,0,1,5,TRT7,SEV
502688,D,Con,6/30/2021,A4,3,2.4,S,5.2,-0.057142857,0,0,2,1,2,0,102.4,1,1,0,0,5,1,1,1,0,0,11,CON14,FOUR
502693,D,Trt,6/30/2021,A4,3,3.4,A,5.8,0,0,0,2,1,2,0,103.1,1,1,0,0,5,1,1,1,0,1,11,TRT14,FOUR
502701,D,Trt,6/30/2021,A4,3,3.6,S,6.2,-0.028571429,0,0,2,0,2,1,103.8,1,1,1,0,5,1,1,1,0,0,11,TRT14,FOUR
502721,D,Trt,6/15/2021,A3,1,3.2,A,6.6,0.314285714,0,0,2,0,2,1,103.9,1,1,1,0,5,1,1,1,0,1,9,TRT14,FOUR
502724,D,Con,6/30/2021,A3,3,4.3,N,9.4,0.142857143,0,0,2,0,2,1,104,1,1,1,0,5,1,1,1,0,0,9,CON14,FOUR
502729,D,Trt,7/7/2021,A2,4,2.4,S,5.2,0,0,0,2,1,2,0,102.2,1,1,0,0,5,1,1,1,0,0,9,TRT14,FOUR
502741,D,Trt,6/23/2021,A3,2,3.6,S,5.6,-0.142857143,0,0,2,0,2,1,103.9,1,1,1,0,5,1,1,1,0,1,7,TRT7,SEV
502759,D,Trt,6/30/2021,A2,3,4.3,S,7.6,0.171428571,0,0,2,0,2,1,104.6,1,1,1,0,5,1,1,1,0,0,6,TRT7,SEV
502762,D,Con,6/23/2021,A2,2,3.2,S,4.8,0.142857143,0,0,2,1,2,0,102.8,1,1,0,0,5,1,1,1,1,0,6,CON7,SEV
502770,D,Con,6/30/2021,A2,3,3.6,S,8.4,0.314285714,0,0,2,0,2,1,103.6,1,1,1,0,5,1,1,1,0,0,5,CON7,SEV
502771,D,Trt,6/23/2021,A2,2,2.6,S,5.8,0.257142857,0,0,2,0,2,1,104.2,1,1,1,0,5,1,1,1,0,0,5,TRT7,SEV
502802,D,Con,6/23/2021,A1,1,2.5,S,5,0.257142857,0,0,2,0,2,1,103.7,1,1,1,0,5,1,1,1,0,0,6,CON7,SEV
502829,D,Trt,6/29/2021,B,1,3.1,S,5.2,0.028571429,0,0,2,0,2,1,103.9,1,1,1,0,5,1,1,1,0,0,11,TRT14,FOUR
502832,D,Con,7/14/2021,B,3,2.3,S,5.6,0.285714286,0,0,2,0,2,1,103.6,1,1,1,0,5,1,1,1,0,1,11,CON14,FOUR
502904,D,Con,7/14/2021,B2,3,3.2,A,5.2,0.114285714,0,0,2,0,2,1,104.2,1,1,1,0,5,1,1,1,0,0,7,CON7,SEV
